codigo,descripcion,status,linea,ubicacion,unidad_sat,clave_sat,precio_base,costo,stock_min,stock_max,punto_reorden
"VT-6MM-001","Vidrio Templado 6mm Transparente","Activo","Vidrios","A-01-15","M2","43211701",350.00,210.00,50,500,75
"AL-NAT-001","Perfil Aluminio Natural 2x1","Activo","Perfiles","B-02-08","PZA","30111506",145.50,87.30,100,1000,150
"VL-8MM-001","Vidrio Laminado 8mm Seguridad","Activo","Vidrios","A-03-22","M2","43211702",520.00,312.00,30,300,45
"HE-PREM-001","Herraje Premium Ventana","Activo","Herrajes","C-01-10","PZA","30111507",89.50,45.20,200,2000,300
"VT-10MM-001","Vidrio Templado 10mm","Activo","Vidrios","A-01-16","M2","43211701",450.00,280.00,25,250,40
"AL-ANO-001","Perfil Aluminio Anodizado","Activo","Perfiles","B-02-09","PZA","30111506",185.50,115.30,80,800,120
"VL-6MM-001","Vidrio Laminado 6mm","Activo","Vidrios","A-03-23","M2","43211702",420.00,252.00,40,400,60
"HE-EST-001","Herraje Estándar Puerta","Activo","Herrajes","C-01-11","PZA","30111507",65.50,32.20,300,3000,450
"VT-12MM-001","Vidrio Templado 12mm","Activo","Vidrios","A-01-17","M2","43211701",580.00,348.00,20,200,30
"AL-BRO-001","Perfil Aluminio Bronce","Activo","Perfiles","B-02-10","PZA","30111506",195.50,125.30,70,700,105
"VL-10MM-001","Vidrio Laminado 10mm","Activo","Vidrios","A-03-24","M2","43211702",650.00,390.00,25,250,40
"HE-LUX-001","Herraje Luxury Premium","Activo","Herrajes","C-01-12","PZA","30111507",125.50,65.20,150,1500,225
"VT-8MM-001","Vidrio Templado 8mm","Activo","Vidrios","A-01-18","M2","43211701",420.00,252.00,35,350,50
"AL-NEG-001","Perfil Aluminio Negro","Activo","Perfiles","B-02-11","PZA","30111506",205.50,135.30,60,600,90
"VL-12MM-001","Vidrio Laminado 12mm","Activo","Vidrios","A-03-25","M2","43211702",780.00,468.00,20,200,30
"HE-SEC-001","Herraje Seguridad Reforzado","Activo","Herrajes","C-01-13","PZA","30111507",155.50,85.20,100,1000,150